ScanCode,Access,Description,Instruments
SCAN_rcgLongTermEventScore_DESC,unrestricted,Long Term Event Score (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermEventScore_ASC,unrestricted,Long Term Event Score (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermTrade_DESC,unrestricted,Long Term Trade (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermTrade_ASC,unrestricted,Long Term Trade (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermTechnicalDate_DESC,unrestricted,Intermediate Term Technical Date (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermTechnicalDate_ASC,unrestricted,Intermediate Term Technical Date (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermEventScore_DESC,unrestricted,Intermediate Term Event Score (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermEventScore_ASC,unrestricted,Intermediate Term Event Score (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermTrade_DESC,unrestricted,Intermediate Term Trade (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermTrade_ASC,unrestricted,Intermediate Term Trade (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermTechnicalDate_DESC,unrestricted,Short Term Technical Date (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermTechnicalDate_ASC,unrestricted,Short Term Technical Date (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermEventScore_DESC,unrestricted,Short Term Event Score (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermEventScore_ASC,unrestricted,Short Term Event Score (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermTrade_DESC,unrestricted,Short Term Trade (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermTrade_ASC,unrestricted,Short Term Trade (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_esgScore_DESC,unrestricted,ESG Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgScore_ASC,unrestricted,ESG Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgCombinedScore_DESC,unrestricted,ESG Combined Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgCombinedScore_ASC,unrestricted,ESG Combined Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgControversiesScore_DESC,unrestricted,ESG Controversies Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgControversiesScore_ASC,unrestricted,ESG Controversies Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgResourceUseScore_DESC,unrestricted,ESG Resource Use Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgResourceUseScore_ASC,unrestricted,ESG Resource Use Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgEmissionsScore_DESC,unrestricted,ESG Emissions Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
